Sample;Year;DY;Tree;RF;CZ;EZ;WZ;MZ;PR;Site;Species
1;2012;127;1;1;6;0;0;0;52;north;PCAB
1;2012;127;1;2;5;0;0;0;50;north;PCAB
1;2012;127;1;3;6;0;0;0;48;north;PCAB
2;2012;138;1;1;7;0;0;0;41;north;PCAB
2;2012;138;1;2;7;0;0;0;41;north;PCAB
2;2012;138;1;3;7;0;0;0;41;north;PCAB
3;2012;149;1;1;8;9;0;0;78;north;PCAB
3;2012;149;1;2;10;9;0;0;78;north;PCAB
3;2012;149;1;3;10;13;0;0;78;north;PCAB
4;2012;158;1;1;14;11;0;0;65;north;PCAB
4;2012;158;1;2;12;11;0;0;65;north;PCAB
4;2012;158;1;3;11;11;0;0;65;north;PCAB
5;2012;167;1;1;13;8;0;0;74;north;PCAB
5;2012;167;1;2;11;7;0;0;74;north;PCAB
5;2012;167;1;3;13;10;0;0;74;north;PCAB
6;2012;177;1;1;12;12;16;0;74;north;PCAB
6;2012;177;1;2;14;12;20;0;74;north;PCAB
6;2012;177;1;3;11;13;16;0;74;north;PCAB
7;2012;187;1;1;10;15;21;7;74;north;PCAB
7;2012;187;1;2;10;13;24;8;74;north;PCAB
7;2012;187;1;3;17;14;23;7;74;north;PCAB
8;2012;193;1;1;12;9;29;20;63;north;PCAB
8;2012;193;1;2;11;12;25;20;61;north;PCAB
8;2012;193;1;3;14;12;23;16;64;north;PCAB
9;2012;201;1;1;11;9;21;19;65;north;PCAB
9;2012;201;1;2;10;11;18;25;65;north;PCAB
9;2012;201;1;3;16;9;22;22;65;north;PCAB
10;2012;207;1;1;9;11;23;35;67;north;PCAB
10;2012;207;1;2;10;10;25;28;71;north;PCAB
10;2012;207;1;3;10;11;23;34;71;north;PCAB
11;2012;222;1;1;6;7;15;59;80;north;PCAB
11;2012;222;1;2;9;3;21;46;80;north;PCAB
11;2012;222;1;3;8;4;19;46;80;north;PCAB
12;2012;230;1;1;7;3;10;55;74;north;PCAB
12;2012;230;1;2;6;6;15;60;74;north;PCAB
12;2012;230;1;3;6;7;18;50;74;north;PCAB
13;2012;239;1;1;5;0;14;61;74;north;PCAB
13;2012;239;1;2;5;0;16;50;74;north;PCAB
13;2012;239;1;3;6;0;15;60;74;north;PCAB
14;2012;249;1;1;5;0;4;65;64;north;PCAB
14;2012;249;1;2;6;0;3;71;65;north;PCAB
14;2012;249;1;3;7;0;3;69;71;north;PCAB
15;2012;259;1;1;8;0;7;71;65;north;PCAB
15;2012;259;1;2;8;0;7;71;65;north;PCAB
15;2012;259;1;3;8;0;8;76;65;north;PCAB
16;2012;268;1;1;7;0;6;94;65;north;PCAB
16;2012;268;1;2;7;0;6;104;65;north;PCAB
16;2012;268;1;3;8;0;6;91;65;north;PCAB
17;2012;270;1;1;7;0;0;75;65;north;PCAB
17;2012;270;1;2;7;0;0;75;65;north;PCAB
17;2012;270;1;3;8;0;0;75;65;north;PCAB
1;2012;127;2;1;6;0;0;0;26;north;PCAB
1;2012;127;2;2;6;0;0;0;26;north;PCAB
1;2012;127;2;3;6;0;0;0;29;north;PCAB
2;2012;138;2;1;7;0;0;0;55;north;PCAB
2;2012;138;2;2;6;0;0;0;55;north;PCAB
2;2012;138;2;3;6;0;0;0;55;north;PCAB
3;2012;149;2;1;11;5;0;0;44;north;PCAB
3;2012;149;2;2;11;5;0;0;40;north;PCAB
3;2012;149;2;3;10;6;0;0;43;north;PCAB
4;2012;158;2;1;11;14;6;0;68;north;PCAB
4;2012;158;2;2;6;12;6;0;68;north;PCAB
4;2012;158;2;3;9;12;7;0;68;north;PCAB
5;2012;167;2;1;9;5;4;0;46;north;PCAB
5;2012;167;2;2;9;5;4;0;48;north;PCAB
5;2012;167;2;3;9;5;5;0;50;north;PCAB
6;2012;177;2;1;9;7;13;3;56;north;PCAB
6;2012;177;2;2;7;8;14;2;56;north;PCAB
6;2012;177;2;3;8;6;13;1;56;north;PCAB
7;2012;187;2;1;10;8;13;12;54;north;PCAB
7;2012;187;2;2;13;8;14;12;54;north;PCAB
7;2012;187;2;3;13;9;13;12;54;north;PCAB
8;2012;193;2;1;9;10;20;18;50;north;PCAB
8;2012;193;2;2;;;;;;north;PCAB
8;2012;193;2;3;;;;;;north;PCAB
9;2012;201;2;1;8;10;33;28;52;north;PCAB
9;2012;201;2;2;10;13;28;24;52;north;PCAB
9;2012;201;2;3;10;13;30;32;52;north;PCAB
10;2012;207;2;1;9;9;24;30;56;north;PCAB
10;2012;207;2;2;14;8;29;27;56;north;PCAB
10;2012;207;2;3;12;9;21;33;56;north;PCAB
11;2012;222;2;1;8;2;11;25;55;north;PCAB
11;2012;222;2;2;7;3;14;30;56;north;PCAB
11;2012;222;2;3;7;2;14;28;60;north;PCAB
12;2012;230;2;1;7;1;14;51;58;north;PCAB
12;2012;230;2;2;8;1;17;51;58;north;PCAB
12;2012;230;2;3;6;2;20;43;58;north;PCAB
13;2012;239;2;1;6;0;20;48;55;north;PCAB
13;2012;239;2;2;;;;;;north;PCAB
13;2012;239;2;3;;;;;;north;PCAB
14;2012;249;2;1;8;0;18;55;53;north;PCAB
